Id,Code,Description,Service,Workset,Wall,Structural,Bearing
22719361,,PLASTBOARD,Piping,BIMMS_OPE'S_WORKSHEET,22_RHD_Int gypsum wall GYP NN-CW150-NN_NA_wet area_S4BG,No,Non-bearing
22719867,,PLASTBOARD,Piping,BIMMS_OPE'S_WORKSHEET,22_RHD_Int gypsum wall GYP NN-CW150-NN_NA_wet area_S4BG,No,Non-bearing
22719968,,PLASTBOARD,Duct,BIMMS_OPE'S_WORKSHEET,22_RHD_Int gypsum wall GYP NN-CW150-NN_NA_wet area_S4BG,No,Non-bearing
22720022,,PLASTBOARD,Piping,BIMMS_OPE'S_WORKSHEET,22_RHD_Int gypsum wall GYP NN-CW150-NN_NA_wet area_S4BG,No,Non-bearing
22720427,,PLASTBOARD,Piping,BIMMS_OPE'S_WORKSHEET,22_RHD_Int gypsum wall GYP NN-CW150-NN_NA_wet area_S4BG,No,Non-bearing
22720445,,PLASTBOARD,Piping,BIMMS_OPE'S_WORKSHEET,22_RHD_Int gypsum wall GYP NN-CW150-NN_NA_wet area_S4BG,No,Non-bearing
22720453,,PLASTBOARD,Piping,BIMMS_OPE'S_WORKSHEET,22_RHD_Int gypsum wall GYP NN-CW150-NN_NA_wet area_S4BG,No,Non-bearing
22720461,,PLASTBOARD,Piping,BIMMS_OPE'S_WORKSHEET,22_RHD_Int gypsum wall GYP NN-CW150-NN_NA_wet area_S4BG,No,Non-bearing
22720473,,PLASTBOARD,Piping,BIMMS_OPE'S_WORKSHEET,22_RHD_Int gypsum wall GYP NN-CW150-NN_NA_wet area_S4BG,No,Non-bearing
22720530,,PLASTBOARD,Piping,BIMMS_OPE'S_WORKSHEET,22_RHD_Int gypsum wall GYP NN-CW150-NN_NA_wet area_S4BG,No,Non-bearing
22720553,,PLASTBOARD,Piping,BIMMS_OPE'S_WORKSHEET,22_RHD_Int gypsum wall GYP NN-CW150-NN_NA_wet area_S4BG,No,Non-bearing
22720947,,PLASTBOARD,Duct,BIMMS_OPE'S_WORKSHEET,22_RHD_Int gypsum wall GYP NN-CW150-NN_NA_wet area_S4BG,No,Non-bearing
22721056,,,,BIMMS_OPE'S_WORKSHEET,22_RHD_Int gypsum wall GYP NN-CW150-NN_NA_wet area_S4BG,No,Non-bearing
22721474,,PLASTBOARD,Cable Containment,BIMMS_OPE'S_WORKSHEET,22_RHD_Int gypsum wall GYP NN-CW150-NN_NA_wet area_S4BG,No,Non-bearing
22721729,,PLASTBOARD,Cable Containment,BIMMS_OPE'S_WORKSHEET,22_RHD_Int gypsum wall GYP NN-CW150-NN_NA_wet area_S4BG,No,Non-bearing
22721737,,PLASTBOARD,Cable Containment,BIMMS_OPE'S_WORKSHEET,22_RHD_Int gypsum wall GYP NN-CW150-NN_NA_wet area_S4BG,No,Non-bearing
22721830,,PLASTBOARD,Piping,BIMMS_OPE'S_WORKSHEET,22_RHD_Int gypsum wall GYP NN-CW100-NN_NA_S4AA,No,Non-bearing
22721832,,PLASTBOARD,Duct,BIMMS_OPE'S_WORKSHEET,22_RHD_Int gypsum wall GYP NN-CW100-NN_NA_S4AA,No,Non-bearing
22721840,,PLASTBOARD,Cable Containment,BIMMS_OPE'S_WORKSHEET,22_RHD_Int gypsum wall GYP NN-CW100-NN_NA_S4AA,No,Non-bearing
22721841,,PLASTBOARD,Cable Containment,BIMMS_OPE'S_WORKSHEET,22_RHD_Int gypsum wall GYP NN-CW100-NN_NA_S4AA,No,Non-bearing
22721842,,PLASTBOARD,Cable Containment,BIMMS_OPE'S_WORKSHEET,22_RHD_Int gypsum wall GYP NN-CW100-NN_NA_S4AA,No,Non-bearing
22721843,,PLASTBOARD,Cable Containment,BIMMS_OPE'S_WORKSHEET,22_RHD_Int gypsum wall GYP NN-CW100-NN_NA_S4AA,No,Non-bearing
22725292,,PLASTBOARD,Piping,BIMMS_OPE'S_WORKSHEET,22_RHD_Int gypsum wall GYP NN-CW100_S2AA,No,Non-bearing
22770070,GF.WL.091,PRECAST,Cable Containment,BIMMS_OPEs_Precst,21_RHD_cellular_concrete_300_F90A_M1DA,Yes,Bearing
22923286,GF.WL.244,Gypsum Board,Piping,BIMMS_OPEs_Gypsum,22_RHD_Int gypsum wall GYP NN-CW150-NN_NA_S4CA,No,Non-bearing
22978664,GF.WL.291,Gypsum Board,Plumbing Water,BIMMS_OPEs_Gypsum,22_RHD_Int gypsum wall GYP NN-CW150-NN_NA_wet area_S4BF,No,Non-bearing
22988518,GF.WL.299,Gypsum Board,Duct,BIMMS_OPEs_Gypsum,22_RHD_Int gypsum wall GYP NN-CW150-NN_NA_S4BA,No,Non-bearing
22989653,GF.WL.295,Gypsum Board,Piping,BIMMS_OPEs_Gypsum,22_RHD_Int gypsum wall GYP NN-CW150-NN_NA_S4BA,No,Non-bearing
22989857,GF.WL.296,Gypsum Board,Fire,BIMMS_OPEs_Gypsum,22_RHD_Int gypsum wall GYP NN-CW150-NN_NA_S4BA,No,Non-bearing
22991425,GF.WL.303,Gypsum Board,Cable Containment,BIMMS_OPEs_Gypsum,22_RHD_Int gypsum wall GYP NN-CW150-NN_NA_reinforced_S4BE,No,Non-bearing
22991460,GF.WL.304,Gypsum Board,Fire,BIMMS_OPEs_Gypsum,22_RHD_Int gypsum wall GYP NN-CW150-NN_NA_reinforced_S4BE,No,Non-bearing
23007024,,PLASTBOARD,Piping,BIMMS_OPE'S_WORKSHEET,22_RHD_Int gypsum wall GYP NN-CW150-NN_NA_F90A_S4BC,No,Non-bearing
23007057,,PLASTBOARD,Fire,BIMMS_OPE'S_WORKSHEET,22_RHD_Int gypsum wall GYP NN-CW150-NN_NA_F90A_S4BC,No,Non-bearing
23191779,,PLASTBOARD,Duct,BIMMS_OPE'S_WORKSHEET,22_RHD_Int gypsum wall GYP NN-CW150-NN_NA_F90A_S4BD,No,Non-bearing
23191780,,PLASTBOARD,Piping,BIMMS_OPE'S_WORKSHEET,22_RHD_Int gypsum wall GYP NN-CW150-NN_NA_F90A_S4BD,No,Non-bearing
